iterations,fevals,time,fitness
4550,17002,0.010585578999999318,807.0
4560,17003,0.0106013259999993,807.0
4570,17004,0.010616877999999302,807.0
4580,17005,0.010634625999999286,807.0
4590,17006,0.010650756999999289,807.0
4600,17007,0.010666332999999278,807.0
4610,17008,0.010682068999999267,807.0
4620,17009,0.010698167999999286,807.0
4630,17010,0.010714090999999287,807.0
4640,17011,0.010729567999999273,807.0
4650,17012,0.010746761999999271,807.0
4660,17013,0.010762825999999281,807.0
4670,17014,0.010779006999999285,807.0
4680,17015,0.010794790999999276,807.0
4690,17016,0.010810567999999271,807.0
4700,17017,0.010826551999999268,807.0
4710,17018,0.010844533999999267,807.0
4720,17019,0.010859967999999248,807.0
4730,17020,0.010875461999999253,807.0
4740,17021,0.010891355999999242,807.0
4750,17022,0.010907059999999247,807.0
4760,17023,0.01092255699999925,807.0
4770,17024,0.010939003999999253,807.0
4780,17025,0.010954423999999241,807.0
4790,17026,0.010970000999999258,807.0
4800,17027,0.010985946999999274,807.0
4810,17028,0.01100152499999929,807.0
4820,17029,0.011017315999999305,807.0
4830,17030,0.011035369999999295,807.0
4840,17031,0.011051107999999282,807.0
4850,17032,0.011066843999999298,807.0
4860,17033,0.011082388999999304,807.0
4870,17034,0.011098105999999303,807.0
4880,17035,0.011114369999999318,807.0
4890,17036,0.01113062599999931,807.0
4900,17037,0.011146184999999309,807.0
4910,17038,0.011161570999999315,807.0
4920,17039,0.011177073999999315,807.0
4930,17040,0.011192698999999334,807.0
4940,17041,0.011208696999999324,807.0
4950,17042,0.011226572999999324,807.0
4960,17043,0.01124193799999934,807.0
4970,17044,0.011258236999999338,807.0
4980,17045,0.011274047999999343,807.0
4990,17046,0.011290216999999353,807.0
5000,17047,0.011306080999999357,807.0
